timestamp,bytes_transferred,packet_count,connection_duration,source_port,destination_port,retransmission_rate,protocol,bytes_per_packet,packets_per_second
2025-11-27T23:17:30,1035,5,27.163457,53,62593,0.0,DNS,207.0,0.18407082721466564
2025-11-27T23:17:30,198,3,3.013938,44096,443,0.0,TCP,66.0,0.995375485494393
2025-11-27T23:17:30,1519,14,24.376579,9993,9993,0.0,DATA,108.5,0.574321770089232
2025-11-27T23:17:30,1951,25,26.381749,45577,9993,0.0,DATA,78.04,0.9476248144124183
2025-11-27T23:17:30,3071,14,24.375216,9993,9993,0.0,DATA,219.35714285714286,0.5743538846999345
2025-11-27T23:17:30,108,2,20.224485,7826,37116,0.0,TCP,54.0,0.09889003354102711
2025-11-27T23:17:30,216,4,25.94729,37116,7826,0.0,TCP,54.0,0.1541586809258308
2025-11-27T23:17:30,172,2,25.041484,443,17325,0.0,TLS,86.0,0.0798674711131337
2025-11-27T23:17:30,180,2,25.041569,17325,443,0.0,TLS,90.0,0.07986720001450388
2025-11-27T23:17:30,54,1,1.0,443,17325,0.0,TCP,54.0,1.0
2025-11-27T23:17:30,1448,6,0.922693,5353,5353,0.0,MDNS,241.33333333333334,6.502704583214569
2025-11-27T23:17:30,108,2,20.988285,7826,1068,0.0,TCP,54.0,0.09529125414487176
2025-11-27T23:17:30,162,3,20.98832,1068,7826,0.0,TCP,54.0,0.14293664285659832
2025-11-27T23:17:30,301,2,14.990595,21009,45577,0.0,DATA,150.5,0.13341698578341954
2025-11-27T23:17:30,403,3,17.340217,45577,21009,0.0,DATA,134.33333333333334,0.17300821552579188
2025-11-27T23:17:30,420,4,20.99016,35904,25190,0.0,DATA,105.0,0.19056548401727286
2025-11-27T23:17:30,96,1,1.0,62976,53,0.0,DNS,96.0,1.0
2025-11-27T23:17:30,96,1,1.0,65441,53,0.0,DNS,96.0,1.0
2025-11-27T23:17:30,96,1,1.0,65028,53,0.0,DNS,96.0,1.0
2025-11-27T23:17:30,1349,7,6.169409,56678,443,0.0,TLS,192.71428571428572,1.134630561857708
2025-11-27T23:17:30,196,1,1.0,53,62976,0.0,DNS,196.0,1.0
2025-11-27T23:17:30,235,1,1.0,53,65441,0.0,DNS,235.0,1.0
2025-11-27T23:17:30,187,1,1.0,53,65028,0.0,DNS,187.0,1.0
2025-11-27T23:17:30,518,7,6.167497,443,56678,0.0,TCP,74.0,1.1349823113006783
2025-11-27T23:17:30,4250,9,6.227549,443,56678,0.0,TLS,472.22222222222223,1.445191358590675
2025-11-27T23:17:30,222,3,6.190859,56678,443,0.0,TCP,74.0,0.48458541859861454
2025-11-27T23:17:30,75,1,1.0,47655,443,0.0,TLS,75.0,1.0
2025-11-27T23:17:30,86,1,1.0,443,47655,0.0,TCP,86.0,1.0
2025-11-27T23:17:30,132,2,1.012634,44103,443,0.0,TCP,66.0,1.975047253005528
2025-11-27T23:17:30,249,2,15.227043,45577,4856,0.0,DATA,124.5,0.13134526513125366
2025-11-27T23:17:30,249,2,15.227187,25190,4112,0.0,DATA,124.5,0.13134402302933562
2025-11-27T23:17:30,113,1,1.0,53859,443,0.0,TLS,113.0,1.0
2025-11-27T23:17:30,180,2,15.229413,4856,45577,0.0,DATA,90.0,0.13132482519188363
2025-11-27T23:17:30,180,2,15.230152,4112,25190,0.0,DATA,90.0,0.13131845302660144
2025-11-27T23:17:30,54,1,1.0,443,53859,0.0,TCP,54.0,1.0
2025-11-27T23:17:30,94,1,1.0,53833,53,0.0,DNS,94.0,1.0
2025-11-27T23:17:30,94,1,1.0,57777,53,0.0,DNS,94.0,1.0
2025-11-27T23:17:30,94,1,1.0,56314,53,0.0,DNS,94.0,1.0
2025-11-27T23:17:30,122,1,1.0,53,57777,0.0,DNS,122.0,1.0
2025-11-27T23:17:30,110,1,1.0,53,56314,0.0,DNS,110.0,1.0
2025-11-27T23:17:30,119,1,1.0,53,53833,0.0,DNS,119.0,1.0
2025-11-27T23:17:30,430,5,15.029739,29918,443,0.0,TCP,86.0,0.3326737743083895
2025-11-27T23:17:30,382,2,20.94232,37116,7826,0.0,TLS,191.0,0.09550040301170072
2025-11-27T23:17:30,370,2,20.960385,7826,37116,0.0,TLS,185.0,0.09541809465808954
2025-11-27T23:17:30,330,5,15.03297,45969,443,0.0,TCP,66.0,0.33260227353610095
2025-11-27T23:17:30,100,1,1.0,43611,443,0.0,TLS,100.0,1.0
2025-11-27T23:17:30,100,1,1.0,443,43611,0.0,TLS,100.0,1.0
2025-11-27T23:17:30,54,1,1.0,43611,443,0.0,TCP,54.0,1.0
2025-11-27T23:17:30,719,1,1.0,38031,15683,0.0,DATA,719.0,1.0
2025-11-27T23:17:30,1214,3,8.4e-05,37903,443,0.0,TLS,404.6666666666667,35714.28571428572
2025-11-27T23:17:30,502,4,0.002001,443,37903,0.0,TLS,125.5,1999.0004997501248
2025-11-27T23:17:30,148,2,0.001984,37903,443,0.0,TCP,74.0,1008.0645161290322
2025-11-27T23:17:30,110,1,1.0,65388,53,0.0,DNS,110.0,1.0
2025-11-27T23:17:30,110,1,1.0,61227,53,0.0,DNS,110.0,1.0
2025-11-27T23:17:30,110,1,1.0,60538,53,0.0,DNS,110.0,1.0
2025-11-27T23:17:30,1870,2,0.191318,42533,443,0.0,TLS,935.0,10.453799433404072
2025-11-27T23:17:30,348,1,1.0,53,65388,0.0,DNS,348.0,1.0
2025-11-27T23:17:30,294,1,1.0,53,61227,0.0,DNS,294.0,1.0
2025-11-27T23:17:30,348,1,1.0,53,60538,0.0,DNS,348.0,1.0
2025-11-27T23:17:30,132,2,1.011418,45971,443,0.0,TCP,66.0,1.9774217979114472
2025-11-27T23:17:30,1324,2,0.832364,443,42533,0.0,TLS,662.0,2.4027949310638133
2025-11-27T23:17:30,108,2,0.824972,42533,443,0.0,TCP,54.0,2.424324704353602
2025-11-27T23:17:30,60,1,1.0,443,42533,0.0,TCP,60.0,1.0
2025-11-27T23:17:30,350,3,15.70031,31705,45577,0.0,DATA,116.66666666666667,0.19107902964973303
2025-11-27T23:17:30,359,3,15.700481,45577,31705,0.0,DATA,119.66666666666667,0.19107694853425192
2025-11-27T23:17:30,708,5,15.700782,4856,9993,0.0,DATA,141.6,0.3184554756571997
2025-11-27T23:17:30,708,5,15.701837,4111,9993,0.0,DATA,141.6,0.3184340787641599
2025-11-27T23:17:30,708,5,15.701837,4112,9993,0.0,DATA,141.6,0.3184340787641599
2025-11-27T23:17:30,561,5,15.700895,9993,4856,0.0,DATA,112.2,0.3184531837197816
2025-11-27T23:17:30,561,5,15.701764,9993,4111,0.0,DATA,112.2,0.3184355592148755
2025-11-27T23:17:30,561,5,15.701771,9993,4112,0.0,DATA,112.2,0.31843541725325125
2025-11-27T23:17:30,66,1,1.0,45974,443,0.0,TCP,66.0,1.0
2025-11-27T23:17:30,191,1,1.0,1068,7826,0.0,TLS,191.0,1.0
2025-11-27T23:17:30,185,1,1.0,7826,1068,0.0,TLS,185.0,1.0
2025-11-27T23:17:30,66,1,1.0,45975,443,0.0,TCP,66.0,1.0
2025-11-27T23:17:30,66,1,1.0,45976,443,0.0,TCP,66.0,1.0
2025-11-27T23:17:30,75,1,1.0,35692,443,0.0,TLS,75.0,1.0
2025-11-27T23:17:30,86,1,1.0,443,35692,0.0,TCP,86.0,1.0
2025-11-27T23:17:30,527,5,17.204847,59692,53,0.0,DNS,105.4,0.29061577821645257
2025-11-27T23:17:30,1341,6,17.230553,53,59692,0.0,DNS,223.5,0.3482186555475033
2025-11-27T23:17:30,456,8,1.128824,45977,443,0.0,TCP,57.0,7.087021537458452
2025-11-27T23:17:30,3705,8,1.129113,443,45977,0.0,TCP,463.125,7.0852075921541955
2025-11-27T23:17:30,2736,4,0.863936,45977,443,0.0,TLS,684.0,4.6299725905622635
2025-11-27T23:17:30,55,1,1.0,42589,443,0.0,TLS,55.0,1.0
2025-11-27T23:17:30,66,1,1.0,443,42589,0.0,TCP,66.0,1.0
2025-11-27T23:17:30,3524,6,0.597627,443,45977,0.0,TLS,587.3333333333334,10.039707041348533
2025-11-27T23:17:30,112,1,1.0,52027,53,0.0,DNS,112.0,1.0
2025-11-27T23:17:30,112,1,1.0,61979,53,0.0,DNS,112.0,1.0
2025-11-27T23:17:30,112,1,1.0,59923,53,0.0,DNS,112.0,1.0
2025-11-27T23:17:30,3931,8,8.892763,14586,443,0.0,TLS,491.375,0.8996079171344159
2025-11-27T23:17:30,276,1,1.0,53,52027,0.0,DNS,276.0,1.0
2025-11-27T23:17:30,235,1,1.0,53,61979,0.0,DNS,235.0,1.0
2025-11-27T23:17:30,276,1,1.0,53,59923,0.0,DNS,276.0,1.0
2025-11-27T23:17:30,324,6,9.016135,443,14586,0.0,TCP,54.0,0.6654736203484087
2025-11-27T23:17:30,395,3,8.65171,443,14586,0.0,TLS,131.66666666666666,0.3467522605357785
2025-11-27T23:17:30,6030,5,8.362831,14586,443,0.0,TCP,1206.0,0.5978836592536666
2025-11-27T23:17:30,75,1,1.0,4128,443,0.0,TLS,75.0,1.0
2025-11-27T23:17:30,198,3,3.016803,45993,443,0.0,TCP,66.0,0.994430196469574
2025-11-27T23:17:30,382,5,0.044597,45999,80,0.0,TCP,76.4,112.11516469717695
2025-11-27T23:17:30,729,5,0.044772,80,45999,0.0,TCP,145.8,111.67694094523362
2025-11-27T23:17:30,845,1,1.0,45999,80,0.0,DATA,845.0,1.0
2025-11-27T23:17:30,308,4,0.07592,46000,80,0.0,TCP,77.0,52.68703898840885
2025-11-27T23:17:30,308,4,0.075107,80,46000,0.0,TCP,77.0,53.25735284327693
2025-11-27T23:17:30,1038,1,1.0,46000,80,0.0,DATA,1038.0,1.0
2025-11-27T23:17:30,1000,1,1.0,80,46000,0.0,DATA,1000.0,1.0
2025-11-27T23:17:30,132,2,1.01185,46002,443,0.0,TCP,66.0,1.9765775559618521
2025-11-27T23:17:30,132,2,1.004191,46005,443,0.0,TCP,66.0,1.991652982350967
2025-11-27T23:17:30,7752,10,0.970712,46006,443,0.0,TCP,775.2,10.301716678067233
